timestamp,query,document_id,clicked,dwell_time
2026-05-30 00:27:35.738274,machine learning,1,1,15
2026-05-30 00:35:57.852974,machine learning,3,1,15
2026-05-30 00:39:51.550417,machine learning,3,1,15
deep learning,Deep Learning for Search
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,FastAPI Backend Development,1
deep learning,FastAPI Backend Development,1
deep learning,FastAPI Backend Development,1
deep learning,FastAPI Backend Development,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
machine learning,Deep Learning Basics Deep learning uses neural networks for AI applications,1
machine learning,FastAPI Backend Development FastAPI is used for building machine learning APIs,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Semantic Search Systems,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning projects,Semantic Search Systems,1
deep learning projects,Semantic Search Systems,1
deep learning projects,Semantic Search Systems,1
deep learning tutorial,Elasticsearch BM25 Ranking,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,Deep Learning Basics,1
deep learning tutorial,FastAPI Backend Development,1
deep learning tutorial,FastAPI Backend Development,1
deep learning tutorial,FastAPI Backend Development,1
deep learning tutorial,FastAPI Backend Development,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Elasticsearch BM25 Ranking,1
deep learning,Deep Learning Basics,1
