query,title,query_length,title_length,clicked
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,FastAPI Backend Development,2,3,1
deep learning,FastAPI Backend Development,2,3,1
deep learning,FastAPI Backend Development,2,3,1
deep learning,FastAPI Backend Development,2,3,1
deep learning tutorial,Deep Learning Basics,3,3,1
deep learning tutorial,Deep Learning Basics,3,3,1
deep learning tutorial,Deep Learning Basics,3,3,1
deep learning tutorial,Deep Learning Basics,3,3,1
machine learning,Deep Learning Basics Deep learning uses neural networks for AI applications,2,11,1
machine learning,FastAPI Backend Development FastAPI is used for building machine learning APIs,2,11,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Deep Learning Basics,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,Semantic Search Systems,2,3,1
deep learning,FastAPI Backend Development,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,FastAPI Backend Development,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,FastAPI Backend Development,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,FastAPI Backend Development,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,FastAPI Backend Development,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,Deep Learning Basics,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,Deep Learning Basics,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,Deep Learning Basics,2,3,0
deep learning,Semantic Search Systems,2,3,0
deep learning,Learning to Rank Models,2,4,0
deep learning,Elasticsearch BM25 Ranking,2,3,0
deep learning,Deep Learning Basics,2,3,0
deep learning,Semantic Search Systems,2,3,0
