query,title,clicked
2026-05-30 00:27:35.738274,machine learning,1.0
2026-05-30 00:35:57.852974,machine learning,3.0
2026-05-30 00:39:51.550417,machine learning,3.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,FastAPI Backend Development,1.0
deep learning,FastAPI Backend Development,1.0
deep learning,FastAPI Backend Development,1.0
deep learning,FastAPI Backend Development,1.0
deep learning tutorial,Deep Learning Basics,1.0
deep learning tutorial,Deep Learning Basics,1.0
deep learning tutorial,Deep Learning Basics,1.0
deep learning tutorial,Deep Learning Basics,1.0
machine learning,Deep Learning Basics Deep learning uses neural networks for AI applications,1.0
machine learning,FastAPI Backend Development FastAPI is used for building machine learning APIs,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Deep Learning Basics,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
deep learning,Semantic Search Systems,1.0
